Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  06.08.2001;108.2;108.44;108.15;108.34;405,416
  07.08.2001;108.36;108.47;108.22;108.26;492,14
  08.08.2001;108.3;108.35;108.11;108.35;409,7
  09.08.2001;108.66;108.9;108.62;108.83;790,206
  10.08.2001;108.73;109.13;108.66;109.08;598,65
  13.08.2001;109.1;109.2;108.9;109.07;437,991
  14.08.2001;109.01;109.03;108.68;108.9;608,415
  15.08.2001;108.92;109.09;108.8;108.88;460,45
  16.08.2001;109;109.17;108.9;109.12;641,573
  17.08.2001;109.11;109.51;109.03;109.38;732,561
  20.08.2001;109.45;109.48;109.17;109.29;438,471
  21.08.2001;109.27;109.31;108.92;108.96;515,269
  22.08.2001;109.12;109.19;108.54;108.75;887,281
  23.08.2001;108.76;108.84;108.55;108.77;528,835
  24.08.2001;108.83;108.85;108.39;108.48;553,115
  27.08.2001;108.49;108.59;108.34;108.58;216,318
  28.08.2001;108.55;109.06;108.46;108.99;665,413
  29.08.2001;109.06;109.15;108.86;109.02;575,5
  30.08.2001;109.14;109.39;108.92;109.37;747,433
  31.08.2001;109.36;109.44;108.98;109.13;581,155
  03.09.2001;109.14;109.22;109.06;109.19;221,56
  04.09.2001;109.07;109.1;108.12;108.15;903,409
  05.09.2001;108.25;108.39;108.11;108.24;583,154
  06.09.2001;108.17;108.31;107.89;108.26;65,537
  07.09.2001;108.11;108.64;107.99;108.55;894,165
  10.09.2001;108.55;108.72;108.09;108.25;659,866
  11.09.2001;108.19;109.25;107.87;108.89;1,038,372
  12.09.2001;109.15;109.25;108.35;108.5;524,72
  13.09.2001;108.47;108.74;108.17;108.51;724,504
  14.09.2001;108.54;109.14;108.48;108.93;649,865
  17.09.2001;109;109.19;108.58;108.68;767,983
  18.09.2001;108.69;108.87;108.45;108.48;862,945
  19.09.2001;108.4;108.52;108.14;108.35;795,417
  20.09.2001;108.33;108.5;108.04;108.26;769,017
  21.09.2001;108.16;108.4;107.92;108;843,146
  24.09.2001;107.95;108.01;107.65;107.95;539,428
  25.09.2001;107.97;108.46;107.92;108.35;694,376
  26.09.2001;108.35;108.65;108.24;108.64;545,525
  27.09.2001;108.77;108.92;108.68;108.8;622,683
  28.09.2001;108.8;109.14;108.59;108.65;711,106
  30.09.2001;109.14;109.25;107.65;108.65;0
  01.10.2001;108.6;108.99;108.58;108.95;482,827
  02.10.2001;109.05;109.5;109.02;109.48;778,415
  03.10.2001;109.62;109.89;109.55;109.84;725,934
  04.10.2001;109.7;109.85;109.48;109.62;825,136
  05.10.2001;109.7;109.95;109.68;109.87;698,616
  08.10.2001;110;110.12;109.62;109.63;546,658
  09.10.2001;109.73;109.78;109.38;109.45;586,337
  10.10.2001;109.44;109.6;109.32;109.55;583,204
  11.10.2001;109.55;109.74;109.12;109.31;988,8
  12.10.2001;109.28;109.69;109.25;109.6;638,132
  15.10.2001;109.58;109.85;109.46;109.83;466,662
  16.10.2001;109.9;109.95;109.68;109.88;601,662
  17.10.2001;109.93;109.97;109.58;109.93;739,87
  18.10.2001;110;110.17;109.92;110.14;655,655
  19.10.2001;110.11;110.35;109.95;109.99;862,791
  22.10.2001;109.94;110.29;109.88;110.24;371,133
  23.10.2001;110.14;110.19;109.96;110.14;593,047
  24.10.2001;110.18;110.58;110.18;110.5;688,028
  25.10.2001;110.61;110.99;110.46;110.98;841,168
  26.10.2001;110.92;111.17;110.75;111.05;600,72
  29.10.2001;111.16;111.38;111.1;111.27;548,38
  30.10.2001;111.29;111.78;111.29;111.73;733,819
  31.10.2001;111.82;112.04;111.51;112;1,049,778
  01.11.2001;112.13;112.97;112.05;112.86;1,144,802
  02.11.2001;112.59;112.7;112.06;112.12;1,055,333
  05.11.2001;112.11;112.5;111.92;112.38;634,153
  06.11.2001;112.47;112.6;112.2;112.26;678,796
  07.11.2001;112.46;112.82;112.42;112.71;714,352
  08.11.2001;112.76;113.11;112.28;112.41;1,173,329
  09.11.2001;112.32;112.57;112.12;112.22;673,39
  12.11.2001;112.2;112.66;111.79;112.36;725,034
  13.11.2001;112.19;112.19;111.55;111.66;982,626
  14.11.2001;111.65;111.7;110.85;110.94;1,181,509
  15.11.2001;110.35;110.81;110.26;110.38;1,208,706
  16.11.2001;109.96;110.64;109.84;109.87;1,258,928
  19.11.2001;109.91;110.67;109.91;110.59;633,378
  20.11.2001;110.67;110.85;110.32;110.43;596,073
  21.11.2001;110.22;110.68;109.68;109.77;885,387
  22.11.2001;109.75;110.02;109.65;109.77;411,353
  23.11.2001;109.76;110.45;109.76;110;607,818
  26.11.2001;110.12;110.41;110.05;110.29;511,324
  27.11.2001;110.08;110.14;109.06;109.32;1,140,106
  28.11.2001;109.69;109.84;109.42;109.7;744,803
  29.11.2001;109.51;110.14;109.46;110.12;835,233
  30.11.2001;110.2;110.63;110.17;110.38;644,556
  03.12.2001;110.4;110.8;110.4;110.58;605,194
  04.12.2001;110.7;110.96;110.52;110.9;690,98
  05.12.2001;110.9;110.9;109.12;109.26;754,096
  06.12.2001;109.29;109.43;108.85;109;80,664
  07.12.2001;108.51;108.85;107.69;107.74;802,701
  10.12.2001;107.96;108.31;107.76;108;631,572
  11.12.2001;108.19;108.56;108.18;108.27;616,098
  12.12.2001;108.45;109.04;108.36;109;694,746
  13.12.2001;109.1;109.23;108.29;108.53;772,823
  14.12.2001;108.54;108.83;108.32;108.62;452,118
  17.12.2001;108.42;108.45;107.57;107.7;528,788
  18.12.2001;108.12;108.23;107.81;108.18;477,793
  19.12.2001;108.41;108.77;108.25;108.49;398,906
  20.12.2001;108.45;108.75;108.01;108.2;355,685
  21.12.2001;108.3;108.53;107.49;107.7;234,39
  27.12.2001;107.4;107.4;107.03;107.11;98,936
  28.12.2001;107.4;107.52;106.75;106.79;144,402
  31.12.2001;110.4;110.96;106.75;106.79;0
  02.01.2002;107.35;107.69;106.94;107.17;558,184
  03.01.2002;106.99;107.62;106.87;107.58;652,159
  04.01.2002;107.57;107.63;107.07;107.35;704,11
  07.01.2002;107.52;108.35;107.25;108.29;898,602
  08.01.2002;108.28;108.47;108.05;108.07;805,933
  09.01.2002;107.98;108.07;107.56;107.74;822,526
  10.01.2002;107.9;108.26;107.81;108.2;857,37
  11.01.2002;108.3;108.62;107.78;108.59;986,48
  14.01.2002;108.82;109.07;108.68;108.95;825,889
  15.01.2002;108.81;109.02;108.65;108.98;719,252
  16.01.2002;109.05;109.16;108.74;108.8;757,716
  17.01.2002;108.77;108.91;108.38;108.43;955,326
  18.01.2002;108.48;108.6;108.18;108.52;535,476
  21.01.2002;108.56;108.67;108.34;108.66;227,597
  22.01.2002;108.55;108.59;108.05;108.24;687,747
  23.01.2002;108.18;108.6;108.03;108.55;859,831
  24.01.2002;108.3;108.33;107.76;107.92;1,103,757
  25.01.2002;107.91;108.07;107.07;107.1;1,051,137
  28.01.2002;107.23;107.39;106.83;107.28;940,975
  29.01.2002;107.28;107.65;106.95;107.55;1,005,826
  30.01.2002;107.77;107.78;107.36;107.69;853,548
  31.01.2002;107.47;107.93;107.29;107.89;928,07
  01.02.2002;107.65;108.09;107.51;108.05;684,601
  04.02.2002;107.98;108.5;107.98;108.46;465,268
  05.02.2002;108.46;108.77;108.33;108.56;863,721
  06.02.2002;108.68;108.78;108.36;108.41;858,182
  07.02.2002;108.43;108.47;107.51;107.66;1,236,229
  08.02.2002;107.7;107.94;107.41;107.84;689,663
  11.02.2002;107.75;107.79;107.55;107.73;379,32
  12.02.2002;107.73;107.92;107.31;107.47;793,124
  13.02.2002;107.17;107.36;106.98;107.27;817,458
  14.02.2002;107.35;107.63;107.16;107.56;731,067
  15.02.2002;107.61;107.98;107.54;107.92;594,086
  18.02.2002;107.99;108.02;107.8;107.9;98,603
  19.02.2002;107.84;108.24;107.56;107.62;726,683
  20.02.2002;107.68;107.78;107.36;107.72;657,318
  21.02.2002;107.55;107.58;107.23;107.43;618,05
  22.02.2002;107.65;108;107.57;107.95;561,692
  25.02.2002;107.91;107.92;107.46;107.55;428,145
  26.02.2002;107.56;107.68;107.29;107.36;755,03
  27.02.2002;107.28;107.63;107.13;107.52;733,666
  28.02.2002;107.74;107.82;107.35;107.77;719,845
  01.03.2002;107.72;107.74;107.15;107.24;691,819
  04.03.2002;107.05;107.15;106.85;107.05;760,425
  05.03.2002;107.12;107.13;106.31;106.71;1,201,938
  06.03.2002;106.78;106.79;106.07;106.19;876,48
  07.03.2002;106.08;106.34;106;106.28;57,125
  08.03.2002;105.1;105.45;105.05;105.24;852,998
  11.03.2002;105.23;105.57;105.23;105.37;481,74
  12.03.2002;105.35;105.62;105.26;105.34;507,791
  13.03.2002;105.26;105.47;104.99;105.22;797,17
