Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  04.08.2006;116,33;116,99;116,15;116,88;1.244.310
  07.08.2006;116,87;117,02;116,83;116,92;469.216
  08.08.2006;116,87;117,10;116,82;117,10;515.715
  09.08.2006;116,99;116,99;116,61;116,78;704.688
  10.08.2006;116,75;117,08;116,66;116,76;840.955
  11.08.2006;116,77;116,78;116,23;116,23;969.033
  14.08.2006;116,18;116,18;115,95;116,02;564.534
  15.08.2006;116,01;116,45;115,91;116,35;832.898
  16.08.2006;116,33;116,78;116,26;116,70;1.045.747
  17.08.2006;116,78;117,04;116,73;116,81;939.104
  18.08.2006;116,84;117,04;116,65;116,98;728.310
  21.08.2006;117,39;117,90;117,31;117,83;1.430.409
  22.08.2006;117,39;117,90;117,31;117,83;1.430.409
  23.08.2006;117,78;117,83;117,55;117,77;958.308
  24.08.2006;117,80;117,99;117,48;117,84;1.130.682
  25.08.2006;117,99;118,11;117,82;118,01;597.875
  28.08.2006;117,99;118,04;117,84;117,96;248.061
  29.08.2006;117,85;117,94;117,62;117,91;752.916
  30.08.2006;117,93;117,98;117,71;117,91;809.704
  31.08.2006;116,78;118,35;115,91;118,27;1.316.848
  01.09.2006;118,31;118,49;118,18;118,45;1.435.715
  04.09.2006;118,36;118,40;118,29;118,39;596.324
  05.09.2006;118,32;118,33;117,95;117,95;1.816.055
  06.09.2006;117,97;118,05;117,59;117,72;1.711.006
  07.09.2006;117,77;117,77;116,69;117,20;1.384.313
  08.09.2006;117,15;117,47;117,10;117,32;1.019.900
  11.09.2006;117,31;117,42;117,11;117,21;1.012.071
  12.09.2006;117,15;117,19;116,84;117,16;1.345.189
  13.09.2006;117,14;117,40;117,10;117,34;1.168.418
  14.09.2006;117,28;117,39;117,14;117,15;931.780
  15.09.2006;117,12;117,59;117,07;117,24;1.224.918
  18.09.2006;117,24;117,24;116,85;117,09;1.094.139
  19.09.2006;117,03;117,50;116,93;117,50;1.664.493
  20.09.2006;117,47;117,62;117,37;117,39;886.948
  21.09.2006;117,38;118,02;117,28;118,02;1.070.096
  22.09.2006;117,98;118,28;117,84;118,24;1.385.108
  25.09.2006;118,19;118,59;118,16;118,59;1.258.792
  26.09.2006;118,52;118,63;118,31;118,47;1.337.159
  27.09.2006;118,40;118,70;118,24;118,38;1.492.033
  28.09.2006;118,35;118,48;118,20;118,42;1.224.892
  29.09.2006;118,47;118,57;118,02;118,11;1.429.140
