Datum;Eroeffnung;Hoch;Tief;Schluss;Volumen
  03.07.2017;161,67;162,44;161,67;161,86;0
  04.07.2017;162,03;162,31;161,92;161,98;0
  05.07.2017;161,97;162,23;161,66;162;0
  06.07.2017;161,94;162,01;160,54;160,73;0
  07.07.2017;160,65;160,84;160,44;160,64;0
  10.07.2017;160,55;161,23;160,55;161,07;0
  11.07.2017;160,9;161,05;160,59;160,98;0
  12.07.2017;161,07;161,54;160,94;161,51;0
  13.07.2017;161,54;162,02;161,13;161,39;0
  14.07.2017;161,45;161,83;161,16;161,17;0
  17.07.2017;161,17;161,62;161,16;161,48;0
  18.07.2017;161,54;161,86;161,33;161,82;0
  19.07.2017;161,7;162,12;161,66;161,89;0
  20.07.2017;161,93;162,23;161,64;162,06;0
  21.07.2017;162,11;162,65;162,08;162,4;0
  24.07.2017;162,42;162,75;162,34;162,51;0
  25.07.2017;162,55;162,64;161,64;161,7;0
  26.07.2017;161,79;162,18;161,72;162,04;0
  27.07.2017;162,08;162,58;162,02;162,21;0
  28.07.2017;162,27;162,31;161,44;162,11;0
  31.07.2017;162,15;162,26;161,79;162,04;0
  01.08.2017;161,95;163,01;161,89;162,99;0
  02.08.2017;162,96;163,04;162,7;162,88;0
  03.08.2017;162,92;163,53;162,78;163,52;0
  04.08.2017;163,54;163,57;162,95;163,23;0
  07.08.2017;163,15;163,44;162,9;163,32;0
  08.08.2017;163,37;163,48;163,08;163,22;0
  10.08.2017;163,83;164,35;163,7;164,29;0
  11.08.2017;164,39;164,69;164,24;164,6;0
  14.08.2017;164,48;164,49;163,9;164,1;0
  15.08.2017;163,98;164,12;163,49;163,82;0
  17.08.2017;164,02;164,37;163,75;164,36;0
  18.08.2017;164,22;164,52;164,04;164,11;0
  21.08.2017;164,12;164,6;164,09;164,55;0
  22.08.2017;164,42;164,49;164,15;164,4;0
  23.08.2017;164,38;164,92;164,25;164,92;0
  24.08.2017;164,9;164,93;164,68;164,7;0
  25.08.2017;164,72;164,82;164,39;164,75;0
  28.08.2017;164,88;165;164,6;164,78;0
  30.08.2017;165,28;165,33;164,94;165,2;0
  31.08.2017;165,14;165,3;164,87;165,23;0
  01.09.2017;165,16;165,22;164,53;164,78;0
  04.09.2017;164,99;165,16;164,9;165,09;0
  05.09.2017;165,05;165,83;164,84;165,73;0
  07.09.2017;162,46;163,4;162,38;163,32;0
  08.09.2017;163,56;163,56;162,97;163,21;0
  11.09.2017;163;163,04;162,79;162,85;0
  12.09.2017;162,82;162,85;161,88;162,07;0
  13.09.2017;162,11;162,22;161,77;161,9;0
  14.09.2017;161,86;162,17;161,52;161,81;0
  15.09.2017;161,91;161,96;161,22;161,51;0
  18.09.2017;161,4;161,56;161;161,19;0
  19.09.2017;161,15;161,51;161,06;161,2;0
  20.09.2017;161,21;161,55;160,91;161,11;0
  21.09.2017;161,06;161,33;160,8;161,14;0
  22.09.2017;161,32;161,39;161,02;161,27;0
