Datum;Dax_Is;ESX50_Is;SP500_Is;NASDAQ_Is;Nikkei_Is;;
23.02.2001;-0.462585034;-0.492063492;-0.408163265;-0.4575;-0.548752834;;
02.03.2001;-0.44921875;-0.439125911;-0.530273438;-0.422405877;-0.510742188;;
09.03.2001;-0.55359001;-0.63;-0.563614744;-0.446666667;-0.655612245;;
16.03.2001;-0.553571429;-0.666666667;-0.665294925;-0.594387755;-0.533163265;;
23.03.2001;-0.416;-0.447916667;-0.464;-0.4448;-0.5728;;
30.03.2001;-0.48;-0.510204082;-0.563333333;-0.555555556;-0.600475624;;
20.04.2001;-0.561436673;-0.608695652;-0.506616257;-0.461247637;-0.714876033;;
27.04.2001;-0.493055556;-0.491319444;-0.491319444;-0.421875;-0.447916667;;
04.05.2001;-0.40877915;-0.412721893;-0.431952663;-0.423868313;-0.76183432;;
11.05.2001;-0.540816327;-0.580357143;-0.580357143;-0.530612245;-0.820153061;;
18.05.2001;-0.535123967;-0.518595041;-0.45557656;-0.461247637;-0.805;;
25.05.2001;-0.581111111;-0.64803805;-0.613333333;-0.613333333;-1.089179548;;
01.06.2001;-0.713541667;-0.713541667;-0.7248;-0.6592;-0.926275992;;
08.06.2001;-0.543367347;-0.641975309;-0.580357143;-0.588477366;-0.802469136;;
15.06.2001;-0.5568;-0.628472222;-0.5008;-0.5008;-0.81852552;;
22.06.2001;-0.479289941;-0.511772853;-0.518737673;-0.518737673;-0.605551497;;
29.06.2001;-0.66706302;-0.673008323;-0.677295918;-0.662306778;-0.665816327;;
06.07.2001;-0.539833532;-0.524375743;-0.529131986;-0.539833532;-0.582639715;;
13.07.2001;-0.510742188;-0.4765625;-0.494140625;-0.428710938;-0.686666667;;
20.07.2001;-0.402366864;-0.42867036;-0.418145957;-0.400394477;-0.483379501;;
27.07.2001;-0.490451389;-0.460389316;-0.502037121;-0.442708333;-0.552930057;;
03.08.2001;-0.594752187;-0.60546875;-0.584756352;-0.501457726;-0.652331372;;
10.08.2001;-0.422390481;-0.462585034;-0.482422931;-0.482422931;-0.57625;;
17.08.2001;-0.494617455;-0.494;-0.502303696;-0.4987;-0.566655105;;
24.08.2001;-0.490451389;-0.502037121;-0.541232639;-0.461371528;-0.584120983;;
31.08.2001;-0.565866908;-0.576086957;-0.615784499;-0.634676324;-0.640493827;;
07.09.2001;-0.51595457;-0.532312925;-0.557057869;-0.538669551;-0.643050297;;
14.09.2001;-0.406913786;-0.402332362;-0.445231154;-0.4412;-0.443639656;;
21.09.2001;-0.42867036;-0.42147553;-0.448060942;-0.42867036;-0.604821037;;
28.09.2001;-0.525047259;-0.555555556;-0.577777778;-0.52345679;-0.662706612;;
05.10.2001;-0.67867036;-0.707815924;-0.669101534;-0.682249817;-0.828703704;;
12.10.2001;-0.43100189;-0.453333333;-0.445652174;-0.419187146;-0.662706612;;
19.10.2001;-0.461247637;-0.460740741;-0.470226843;-0.458884688;-0.68241966;;
26.10.2001;-0.480216576;-0.538252603;-0.546440972;-0.574652778;-0.787172012;;
09.11.2001;-0.458884688;-0.460246914;-0.445652174;-0.413043478;-0.691632231;;
16.11.2001;-0.49219563;-0.522372529;-0.46201873;-0.438085328;-0.766909469;;
23.11.2001;-0.529375;-0.566074951;-0.614375;-0.57625;-0.966875;;
30.11.2001;-0.497829861;-0.48392938;-0.4765625;-0.49609375;-0.65879017;;
07.12.2001;-0.441043084;-0.454375;-0.444444444;-0.446712018;-0.813711911;;
14.12.2001;-0.584775087;-0.582257393;-0.5472;-0.5472;-0.68359375;;
04.01.2002;-0.586956522;-0.592458678;-0.541728395;-0.571851852;-0.785714286;;
11.01.2002;-0.501730104;-0.524413687;-0.62283737;-0.549404075;-0.708038317;;
18.01.2002;-0.467632413;-0.519376181;-0.518786781;-0.55454957;-0.525047259;;
25.01.2002;-0.53600823;-0.518518519;-0.493484225;-0.493484225;-0.778546713;;
01.02.2002;-0.519031142;-0.5072;-0.617454825;-0.549404075;-0.595155709;;
08.02.2002;-0.412886259;-0.408284024;-0.426692965;-0.439842209;-0.479289941;;
15.02.2002;-0.513536027;-0.513536027;-0.491461891;-0.538109121;-0.897135417;;
22.02.2002;-0.502362949;-0.549149338;-0.521266541;-0.536862004;-0.641975309;;
01.03.2002;-0.5288;-0.5388;-0.5288;-0.574;-0.571428571;;
08.03.2002;-0.505;-0.529375;-0.546875;-0.56125;-0.581854043;;
15.03.2002;-0.527777778;-0.541152263;-0.50994513;-0.555555556;-0.521819527;;
22.03.2002;-0.43289225;-0.436200378;-0.450864198;-0.435555556;-0.617202268;;
05.04.2002;-0.632086168;-0.573129252;-0.813492063;-0.659297052;-0.726948245;;
12.04.2002;-0.53600823;-0.629286694;-0.566529492;-0.496227709;-0.862139918;;
19.04.2002;-0.519669421;-0.500165289;-0.543801653;-0.508099174;-0.767011834;;
26.04.2002;-0.5032;-0.5472;-0.5008;-0.486;-0.6953125;;
03.05.2002;-0.460740741;-0.466942149;-0.48;-0.431111111;-0.690102758;;
10.05.2002;-0.763038549;-0.725056689;-0.763038549;-0.573129252;-1.096875;;
17.05.2002;-0.604821037;-0.604821037;-0.669101534;-0.509130752;-0.663580247;;
24.05.2002;-0.445213379;-0.470044379;-0.504068047;-0.470044379;-0.577085736;;
31.05.2002;-0.412114657;-0.430502975;-0.435911303;-0.441860465;-0.653866955;;
07.06.2002;-0.418741512;-0.418741512;-0.422815754;-0.442281575;-0.739152893;;
14.06.2002;-0.421875;-0.427951389;-0.430237401;-0.425239484;-0.495210329;;
21.06.2002;-0.400607639;-0.400666389;-0.423573511;-0.441899209;-0.541232639;;
28.06.2002;-0.526029878;-0.531009507;-0.549117248;-0.51471254;-0.620740741;;
05.07.2002;-0.484798001;-0.484798001;-0.481466056;-0.495210329;-0.55859375;;
12.07.2002;-0.430803571;-0.441326531;-0.412946429;-0.415497449;-0.546875;;
19.07.2002;-0.405325444;-0.403106509;-0.406434911;-0.415310651;-0.588921283;;
26.07.2002;-0.513429752;-0.493285124;-0.449896694;-0.42303719;-0.489152893;;
02.08.2002;-0.419187146;-0.419187146;-0.43100189;-0.428166352;-0.782024793;;
09.08.2002;-0.500208247;-0.50728863;-0.516867972;-0.486880466;-0.607062019;;
16.08.2002;-0.488657845;-0.502222222;-0.472592593;-0.487901235;-0.662190083;;
23.08.2002;-0.4492;-0.4492;-0.436;-0.484;-0.544704861;;
30.08.2002;-0.4812;-0.4812;-0.4508;-0.4672;-0.560434586;;
06.09.2002;-0.45553719;-0.45553719;-0.453884298;-0.51338843;-0.461934156;;
13.09.2002;-0.461474386;-0.461474386;-0.463556851;-0.478550604;-0.465821639;;
20.09.2002;-0.418367347;-0.416772959;-0.404017857;-0.409256198;-0.494876033;;
27.09.2002;-0.466605109;-0.474607572;-0.493074792;-0.428571429;-0.53553719;;
04.10.2002;-0.428911362;-0.428911362;-0.469958358;-0.495152355;-0.522160665;;
11.10.2002;-0.657372401;-0.657372401;-0.564744802;-0.585185185;-0.525510204;;
18.10.2002;-0.515943878;-0.515943878;-0.494876033;-0.459821429;-0.643966942;;
25.10.2002;-0.527777778;-0.541152263;-0.527777778;-0.50617284;-0.656434911;;
01.11.2002;-0.537146614;-0.537146614;-0.560157791;-0.569944598;-0.727839335;;
08.11.2002;-0.517265931;-0.517265931;-0.515841937;-0.515841937;-0.508505917;;
15.11.2002;-0.559012346;-0.571358025;-0.542222222;-0.517561983;-0.581728395;;
22.11.2002;-0.5152;-0.5192;-0.4972;-0.496;-0.511090991;;
29.11.2002;-0.5;-0.509637188;-0.496031746;-0.486020226;-0.584176086;;
06.12.2002;-0.447187929;-0.447187929;-0.444444444;-0.470044379;-0.564398308;;
13.12.2002;-0.55859375;-0.543701172;-0.566162109;-0.617787856;-0.601944444;;
20.12.2002;-0.429606157;-0.439112721;-0.451335446;-0.451323251;-0.487901235;;
03.01.2003;-0.52260591;-0.557137771;-0.52260591;-0.561707036;-0.6828;;
10.01.2003;-0.558349609;-0.555175781;-0.576904297;-0.508944318;-0.664606289;;
17.01.2003;-0.503381894;-0.539802289;-0.539802289;-0.539802289;-0.656956005;;
24.01.2003;-0.526472338;-0.526472338;-0.49256395;-0.551875;-0.62625;;
31.01.2003;-0.458333333;-0.450833333;-0.446388889;-0.44351962;-0.579964328;;
07.02.2003;-0.466745562;-0.463431953;-0.438343195;-0.465860418;-0.651925078;;
14.02.2003;-0.433783396;-0.433783396;-0.419706981;-0.419143876;-0.540781779;;
21.02.2003;-0.512465374;-0.512465374;-0.510310865;-0.564732143;-0.688271605;;
28.02.2003;-0.433127572;-0.423868313;-0.475308642;-0.448914204;-0.611249555;;
07.03.2003;-0.415310651;-0.415310651;-0.428994083;-0.4288;-0.4732;;
14.03.2003;-0.498086735;-0.495854592;-0.510204082;-0.540123457;-0.50617284;;
21.03.2003;-0.666454082;-0.683354592;-0.612561983;-0.624065504;-0.788408779;;
28.03.2003;-0.4752;-0.5032;-0.4928;-0.5372;-0.757037037;;
04.04.2003;-0.582589286;-0.61065051;-0.553571429;-0.591715976;-0.667820069;;
11.04.2003;-0.548611111;-0.548611111;-0.556111111;-0.509512485;-0.5575;;
25.04.2003;-0.486077077;-0.532189797;-0.512167126;-0.485431842;-0.610229277;;
02.05.2003;-0.521903732;-0.547322877;-0.480800433;-0.486394558;-0.773944081;;
09.05.2003;-0.474288338;-0.48553719;-0.566115702;-0.515976331;-0.679656006;;
16.05.2003;-0.460628863;-0.460628863;-0.465466273;-0.452222222;-0.58353151;;
23.05.2003;-0.5032;-0.5472;-0.531445231;-0.656;-0.67904029;;
30.05.2003;-0.527700831;-0.561634349;-0.511772853;-0.476260044;-0.616512346;;
06.06.2003;-0.495057232;-0.49635796;-0.497984413;-0.474166667;-0.546967895;;
13.06.2003;-0.444444444;-0.427641252;-0.447880623;-0.446280992;-0.518266566;;
20.06.2003;-0.493656286;-0.493656286;-0.5372;-0.5372;-0.826738859;;
