Datum;Dax_Ps;ESX50_Ps;SP500_Ps;NASDAQ_Ps;Nikkei_Ps
23.02.2001;-0.501953125;-0.634755463;-0.541111111;-0.439453125;-0.4375
02.03.2001;-0.492502884;-0.768229167;-0.73046875;-0.497116494;-0.541728395
09.03.2001;-0.5372;-0.623811679;-0.750565867;-0.555185339;-0.506616257
16.03.2001;-0.733459357;-0.734404537;-0.827995868;-0.642962963;-0.532720389
23.03.2001;-0.699380165;-0.764737696;-0.848657025;-0.741219008;-0.719529086
30.03.2001;-0.406518787;-0.518786781;-0.652331372;-0.55454957;-0.602469136
20.04.2001;-0.493435944;-0.578089633;-0.521955636;-0.457899306;-0.500246914
27.04.2001;-0.484938272;-0.492839506;-0.569382716;-0.480493827;-0.478531856
04.05.2001;-0.494855967;-0.593278464;-0.5832;-0.487795858;-0.482118606
11.05.2001;-0.53008188;-0.541829833;-0.690129113;-0.524798155;-0.719782707
18.05.2001;-0.551984877;-0.54962963;-0.561466942;-0.493435944;-0.591314694
25.05.2001;-0.455086258;-0.455621302;-0.459141274;-0.441403926;-0.694214876
01.06.2001;-0.548752834;-0.582199546;-0.603212374;-0.510204082;-0.54432133
08.06.2001;-0.51338843;-0.528120713;-0.494126023;-0.490740741;-0.655517109
15.06.2001;-0.453561016;-0.453561016;-0.515122873;-0.4375;-0.561983471
22.06.2001;-0.495867769;-0.538934911;-0.520236686;-0.42887574;-0.719430261
29.06.2001;-0.587646484;-0.691894531;-0.576457941;-0.537666919;-0.600823045
06.07.2001;-0.542577778;-0.596359542;-0.509664102;-0.5568;-0.739808421
13.07.2001;-0.499911111;-0.526577778;-0.532370051;-0.47682492;-0.671280277
20.07.2001;-0.559611188;-0.533061224;-0.540816327;-0.524469649;-0.647266314
27.07.2001;-0.45845481;-0.489418283;-0.474736964;-0.449038155;-0.522261858
03.08.2001;-0.47107438;-0.499009116;-0.453333333;-0.503369005;-0.665187377
10.08.2001;-0.527387958;-0.62594518;-0.560661533;-0.491245019;-0.484410431
17.08.2001;-0.495626822;-0.571845065;-0.653894211;-0.513536027;-0.644139887
24.08.2001;-0.524958678;-0.597003619;-0.579225186;-0.505401235;-0.643213944
31.08.2001;-0.51857661;-0.552985001;-0.511661808;-0.469441894;-0.540402897
07.09.2001;-0.568298028;-0.632606683;-0.518432785;-0.504755492;-0.56904515
14.09.2001;-0.527939509;-0.537844991;-0.519371811;-0.547751913;-0.551404959
21.09.2001;-0.512465374;-0.58533273;-0.478668054;-0.472908587;-0.589876543
28.09.2001;-0.516107824;-0.558561237;-0.477608495;-0.529949465;-0.641064436
05.10.2001;-0.518144971;-0.539792388;-0.553056517;-0.613898501;-0.866149584
12.10.2001;-0.542936288;-0.564645727;-0.561862245;-0.544835148;-0.75591716
19.10.2001;-0.509201974;-0.53380102;-0.5620739;-0.499421488;-0.65477071
26.10.2001;-0.529250529;-0.54169324;-0.495738982;-0.483338648;-0.745730945
09.11.2001;-0.451667884;-0.484132231;-0.447757209;-0.447437084;-0.619154985
16.11.2001;-0.474283854;-0.468593899;-0.489418283;-0.509362881;-0.718362603
23.11.2001;-0.543835902;-0.576044213;-0.548198533;-0.502922734;-0.728822118
30.11.2001;-0.542160665;-0.586124943;-0.539368713;-0.483816206;-0.750157808
07.12.2001;-0.460214866;-0.478818085;-0.456360947;-0.45324263;-0.775852907
14.12.2001;-0.49254249;-0.518557059;-0.50295858;-0.48895061;-0.705978584
04.01.2002;-0.508538109;-0.571222607;-0.5587;-0.5008;-0.688423179
11.01.2002;-0.435110786;-0.457511566;-0.574446595;-0.469008264;-0.670634499
18.01.2002;-0.465268766;-0.472713612;-0.479375;-0.427916667;-0.509087791
25.01.2002;-0.496857567;-0.480537202;-0.533010157;-0.49479786;-0.61196845
01.02.2002;-0.506760411;-0.507263184;-0.491076257;-0.48783126;-0.662389143
08.02.2002;-0.499829247;-0.502885529;-0.517195113;-0.46125;-0.558912628
15.02.2002;-0.493944637;-0.521227882;-0.501618656;-0.45700718;-0.587008
22.02.2002;-0.574076483;-0.562630073;-0.556018243;-0.595677176;-0.545407253
01.03.2002;-0.540994115;-0.545349121;-0.545880656;-0.514497041;-0.518185255
08.03.2002;-0.516252739;-0.505501492;-0.508044403;-0.484519676;-0.461604683
15.03.2002;-0.539620102;-0.520775623;-0.514293553;-0.5321262;-0.466376171
22.03.2002;-0.536263839;-0.534839477;-0.537294188;-0.51843044;-0.509412305
05.04.2002;-0.535838238;-0.502037121;-0.560115936;-0.533616272;-0.572562358
12.04.2002;-0.561282358;-0.538014741;-0.545775805;-0.479690755;-0.529702735
19.04.2002;-0.485499119;-0.484220907;-0.50028764;-0.443579605;-0.54486772
26.04.2002;-0.492583363;-0.475204294;-0.508505917;-0.485535832;-0.527777778
03.05.2002;-0.469092403;-0.497829861;-0.546631638;-0.44623209;-0.475321951
10.05.2002;-0.486896552;-0.507015458;-0.549479167;-0.482976466;-0.493735796
17.05.2002;-0.459196252;-0.467235111;-0.4828;-0.459524115;-0.533711405
24.05.2002;-0.610023789;-0.546320175;-0.582567086;-0.512760368;-0.522908093
31.05.2002;-0.497922438;-0.523991213;-0.565816857;-0.450712992;-0.544990535
07.06.2002;-0.470690335;-0.502685547;-0.544551532;-0.496365017;-0.501932218
