"id";"code";"datum";"frist";"pbull";"pneutral";"pbear";"ibull";"ineutral";"ibear";"freigabe"
"1";"BF";"2001-02-23";"K";"7";"22";"0";"2";"10";"7";"0000-00-00 00:00:00"
"3883";"BF";"2001-02-23";"M";"26";"2";"2";"8";"11";"0";"0000-00-00 00:00:00"
"2";"BF";"2001-03-02";"K";"7";"37";"2";"7";"15";"8";"0000-00-00 00:00:00"
"3884";"BF";"2001-03-02";"M";"32";"12";"2";"12";"16";"2";"0000-00-00 00:00:00"
"3";"BF";"2001-03-09";"K";"9";"35";"1";"10";"13";"6";"0000-00-00 00:00:00"
"3885";"BF";"2001-03-09";"M";"30";"14";"2";"12";"11";"6";"0000-00-00 00:00:00"
"4";"BF";"2001-03-16";"K";"12";"27";"2";"15";"10";"2";"0000-00-00 00:00:00"
"3886";"BF";"2001-03-16";"M";"28";"8";"5";"10";"12";"5";"0000-00-00 00:00:00"
"5";"BF";"2001-03-23";"K";"15";"27";"1";"8";"9";"7";"0000-00-00 00:00:00"
"3887";"BF";"2001-03-23";"M";"31";"8";"4";"8";"14";"2";"0000-00-00 00:00:00"
"6";"BF";"2001-03-30";"K";"15";"29";"0";"6";"12";"10";"0000-00-00 00:00:00"
"3888";"BF";"2001-03-30";"M";"31";"10";"3";"10";"15";"3";"0000-00-00 00:00:00"
"7";"BF";"2001-04-20";"K";"16";"22";"5";"7";"9";"6";"0000-00-00 00:00:00"
"3889";"BF";"2001-04-20";"M";"28";"9";"6";"6";"10";"6";"0000-00-00 00:00:00"
"8";"BF";"2001-04-27";"K";"5";"35";"4";"8";"11";"4";"0000-00-00 00:00:00"
"3890";"BF";"2001-04-27";"M";"27";"9";"7";"7";"12";"4";"0000-00-00 00:00:00"
"9";"BF";"2001-05-04";"K";"7";"43";"0";"12";"9";"4";"0000-00-00 00:00:00"
"3891";"BF";"2001-05-04";"M";"27";"16";"7";"6";"14";"5";"0000-00-00 00:00:00"
"10";"BF";"2001-05-11";"K";"10";"41";"1";"7";"11";"9";"0000-00-00 00:00:00"
"3892";"BF";"2001-05-11";"M";"27";"17";"8";"9";"12";"6";"0000-00-00 00:00:00"
"11";"BF";"2001-05-18";"K";"6";"36";"2";"3";"16";"4";"0000-00-00 00:00:00"
"3893";"BF";"2001-05-18";"M";"26";"12";"7";"6";"8";"9";"0000-00-00 00:00:00"
"12";"BF";"2001-05-25";"K";"4";"32";"4";"4";"15";"10";"0000-00-00 00:00:00"
"3894";"BF";"2001-05-25";"M";"20";"16";"5";"7";"14";"8";"0000-00-00 00:00:00"
"13";"BF";"2001-06-01";"K";"6";"30";"4";"9";"10";"4";"0000-00-00 00:00:00"
