"id";"code";"datum";"frist";"pbull";"pneutral";"pbear";"ibull";"ineutral";"ibear";"freigabe"
"9769";"CS";"2009-10-30";"K";"193";"188";"143";"67";"68";"47";"2009-11-01 20:00:00"
"9782";"CS";"2009-10-30";"M";"227";"170";"123";"84";"49";"49";"2009-11-01 20:00:00"
"9797";"CS";"2009-11-06";"K";"256";"213";"107";"86";"60";"46";"2009-11-08 20:00:00"
"9810";"CS";"2009-11-06";"M";"283";"163";"131";"101";"55";"35";"2009-11-08 20:00:00"
"9823";"CS";"2009-11-13";"K";"272";"181";"99";"106";"56";"32";"2009-11-15 20:00:00"
"9836";"CS";"2009-11-13";"M";"248";"161";"149";"95";"54";"45";"2009-11-15 20:00:00"
"9849";"CS";"2009-11-20";"K";"229";"225";"124";"80";"68";"44";"2009-11-22 20:00:00"
"9862";"CS";"2009-11-20";"M";"252";"166";"162";"88";"50";"55";"2009-11-22 20:00:00"
"9875";"CS";"2009-11-27";"K";"186";"203";"167";"59";"66";"72";"2009-11-29 20:00:00"
"9888";"CS";"2009-11-27";"M";"223";"172";"155";"66";"58";"73";"2009-11-29 20:00:00"
"9901";"CS";"2009-12-04";"K";"242";"197";"107";"82";"78";"25";"2009-12-06 20:00:00"
"9914";"CS";"2009-12-04";"M";"208";"176";"157";"77";"47";"62";"2009-12-06 20:00:00"
"9927";"CS";"2009-12-11";"K";"251";"233";"95";"80";"73";"22";"2009-12-13 20:00:00"
"9940";"CS";"2009-12-11";"M";"233";"176";"165";"68";"48";"60";"2009-12-13 20:00:00"
"9953";"CS";"2009-12-18";"K";"229";"237";"106";"90";"72";"23";"2009-12-20 20:00:00"
"9966";"CS";"2009-12-18";"M";"211";"187";"170";"67";"59";"60";"2009-12-20 20:00:00"
"9979";"CS";"2009-12-25";"K";"182";"155";"102";"27";"31";"8";"2009-12-27 20:00:00"
"9992";"CS";"2009-12-25";"M";"155";"132";"148";"22";"23";"21";"2009-12-27 20:00:00"
"10005";"CS";"2010-01-01";"K";"235";"178";"112";"66";"56";"24";"2010-01-03 20:00:00"
"10018";"CS";"2010-01-01";"M";"184";"160";"179";"52";"51";"43";"2010-01-03 20:00:00"
"10031";"CS";"2010-01-08";"K";"241";"221";"98";"64";"77";"36";"2010-01-10 20:00:00"
"10044";"CS";"2010-01-08";"M";"207";"181";"169";"53";"59";"65";"2010-01-10 20:00:00"
"10057";"CS";"2010-01-15";"K";"181";"225";"155";"69";"94";"53";"2010-01-17 20:00:00"
"10070";"CS";"2010-01-15";"M";"184";"193";"182";"64";"73";"78";"2010-01-17 20:00:00"
"10083";"CS";"2010-01-22";"K";"113";"194";"277";"39";"64";"92";"2010-01-24 20:00:00"
"10096";"CS";"2010-01-22";"M";"203";"198";"176";"72";"57";"65";"2010-01-24 20:00:00"
"10109";"CS";"2010-01-29";"K";"136";"195";"207";"58";"85";"58";"2010-01-31 20:00:00"
"10122";"CS";"2010-01-29";"M";"186";"184";"164";"71";"56";"73";"2010-01-31 20:00:00"
"10135";"CS";"2010-02-05";"K";"141";"207";"233";"51";"68";"80";"2010-02-07 20:00:00"
"10148";"CS";"2010-02-05";"M";"205";"182";"195";"66";"74";"58";"2010-02-07 20:00:00"
"10161";"CS";"2010-02-12";"K";"166";"225";"171";"69";"76";"55";"2010-02-14 20:00:00"
