"id";"code";"datum";"frist";"pbull";"pneutral";"pbear";"ibull";"ineutral";"ibear";"freigabe"
"3521";"DY";"2001-02-23";"K";"7";"6";"3";"7";"6";"3";"0000-00-00 00:00:00"
"7403";"DY";"2001-02-23";"M";"7";"6";"2";"7";"6";"2";"0000-00-00 00:00:00"
"3522";"DY";"2001-03-02";"K";"15";"12";"1";"15";"12";"1";"0000-00-00 00:00:00"
"7404";"DY";"2001-03-02";"M";"19";"9";"0";"19";"9";"0";"0000-00-00 00:00:00"
"3523";"DY";"2001-03-09";"K";"13";"8";"3";"13";"8";"3";"0000-00-00 00:00:00"
"7405";"DY";"2001-03-09";"M";"15";"6";"2";"15";"6";"2";"0000-00-00 00:00:00"
"3524";"DY";"2001-03-16";"K";"12";"11";"0";"12";"11";"0";"0000-00-00 00:00:00"
"7406";"DY";"2001-03-16";"M";"14";"8";"1";"14";"8";"1";"0000-00-00 00:00:00"
"3525";"DY";"2001-03-23";"K";"6";"12";"2";"6";"12";"2";"0000-00-00 00:00:00"
"7407";"DY";"2001-03-23";"M";"15";"3";"2";"15";"3";"2";"0000-00-00 00:00:00"
"3526";"DY";"2001-03-30";"K";"9";"12";"1";"9";"12";"1";"0000-00-00 00:00:00"
"7408";"DY";"2001-03-30";"M";"9";"13";"0";"9";"13";"0";"0000-00-00 00:00:00"
"3527";"DY";"2001-04-20";"K";"8";"9";"1";"8";"9";"1";"0000-00-00 00:00:00"
"7409";"DY";"2001-04-20";"M";"12";"5";"1";"12";"5";"1";"0000-00-00 00:00:00"
"3528";"DY";"2001-04-27";"K";"10";"10";"1";"10";"10";"1";"0000-00-00 00:00:00"
"7410";"DY";"2001-04-27";"M";"12";"7";"2";"12";"7";"2";"0000-00-00 00:00:00"
"3529";"DY";"2001-05-04";"K";"9";"10";"2";"9";"10";"2";"0000-00-00 00:00:00"
"7411";"DY";"2001-05-04";"M";"8";"10";"3";"8";"10";"3";"0000-00-00 00:00:00"
"3530";"DY";"2001-05-11";"K";"10";"15";"1";"10";"15";"1";"0000-00-00 00:00:00"
"7412";"DY";"2001-05-11";"M";"11";"14";"1";"11";"14";"1";"0000-00-00 00:00:00"
"3531";"DY";"2001-05-18";"K";"7";"12";"0";"7";"12";"0";"0000-00-00 00:00:00"
"7413";"DY";"2001-05-18";"M";"8";"10";"1";"8";"10";"1";"0000-00-00 00:00:00"
"3532";"DY";"2001-05-25";"K";"8";"12";"5";"8";"12";"5";"0000-00-00 00:00:00"
"7414";"DY";"2001-05-25";"M";"6";"14";"5";"6";"14";"5";"0000-00-00 00:00:00"
"3533";"DY";"2001-06-01";"K";"5";"11";"7";"5";"11";"7";"0000-00-00 00:00:00"
"7415";"DY";"2001-06-01";"M";"5";"15";"3";"5";"15";"3";"0000-00-00 00:00:00"
"3534";"DY";"2001-06-08";"K";"8";"10";"2";"8";"10";"2";"0000-00-00 00:00:00"
"7416";"DY";"2001-06-08";"M";"4";"13";"3";"4";"13";"3";"0000-00-00 00:00:00"
"3535";"DY";"2001-06-15";"K";"8";"9";"3";"8";"9";"3";"0000-00-00 00:00:00"
"7417";"DY";"2001-06-15";"M";"4";"13";"3";"4";"13";"3";"0000-00-00 00:00:00"
"3536";"DY";"2001-06-22";"K";"14";"13";"2";"14";"13";"2";"0000-00-00 00:00:00"
"7418";"DY";"2001-06-22";"M";"11";"15";"3";"11";"15";"3";"0000-00-00 00:00:00"
"3537";"DY";"2001-06-29";"K";"11";"10";"3";"11";"10";"3";"0000-00-00 00:00:00"
