"id";"code";"datum";"frist";"pbull";"pneutral";"pbear";"ibull";"ineutral";"ibear";"freigabe"
"3159";"EU";"2001-02-23";"K";"5";"24";"1";"2";"11";"8";"0000-00-00 00:00:00"
"7041";"EU";"2001-02-23";"M";"22";"6";"2";"14";"6";"1";"0000-00-00 00:00:00"
"3160";"EU";"2001-03-02";"K";"21";"27";"3";"17";"11";"4";"0000-00-00 00:00:00"
"7042";"EU";"2001-03-02";"M";"36";"11";"4";"18";"10";"4";"0000-00-00 00:00:00"
"3161";"EU";"2001-03-09";"K";"17";"29";"1";"11";"15";"4";"0000-00-00 00:00:00"
"7043";"EU";"2001-03-09";"M";"35";"7";"5";"23";"5";"2";"0000-00-00 00:00:00"
"3162";"EU";"2001-03-16";"K";"5";"28";"8";"4";"18";"6";"0000-00-00 00:00:00"
"7044";"EU";"2001-03-16";"M";"27";"12";"3";"13";"10";"5";"0000-00-00 00:00:00"
"3163";"EU";"2001-03-23";"K";"9";"25";"8";"4";"13";"7";"0000-00-00 00:00:00"
"7045";"EU";"2001-03-23";"M";"24";"12";"6";"13";"8";"3";"0000-00-00 00:00:00"
"3164";"EU";"2001-03-30";"K";"9";"28";"9";"3";"16";"11";"0000-00-00 00:00:00"
"7046";"EU";"2001-03-30";"M";"28";"10";"8";"15";"12";"2";"0000-00-00 00:00:00"
"3165";"EU";"2001-04-20";"K";"18";"22";"5";"8";"11";"3";"0000-00-00 00:00:00"
"7047";"EU";"2001-04-20";"M";"27";"12";"6";"10";"8";"4";"0000-00-00 00:00:00"
"3166";"EU";"2001-04-27";"K";"12";"28";"3";"9";"11";"3";"0000-00-00 00:00:00"
"7048";"EU";"2001-04-27";"M";"26";"13";"3";"12";"9";"2";"0000-00-00 00:00:00"
"3167";"EU";"2001-05-04";"K";"6";"40";"4";"4";"14";"8";"0000-00-00 00:00:00"
"7049";"EU";"2001-05-04";"M";"25";"14";"11";"12";"11";"3";"0000-00-00 00:00:00"
"3168";"EU";"2001-05-11";"K";"7";"29";"16";"6";"8";"14";"0000-00-00 00:00:00"
"7050";"EU";"2001-05-11";"M";"20";"20";"12";"13";"10";"5";"0000-00-00 00:00:00"
"3169";"EU";"2001-05-18";"K";"6";"33";"7";"6";"11";"5";"0000-00-00 00:00:00"
"7051";"EU";"2001-05-18";"M";"19";"16";"11";"13";"3";"6";"0000-00-00 00:00:00"
"3170";"EU";"2001-05-25";"K";"5";"24";"12";"4";"14";"12";"0000-00-00 00:00:00"
"7052";"EU";"2001-05-25";"M";"15";"13";"13";"9";"12";"9";"0000-00-00 00:00:00"
"3171";"EU";"2001-06-01";"K";"2";"24";"16";"4";"9";"11";"0000-00-00 00:00:00"
"7053";"EU";"2001-06-01";"M";"18";"14";"10";"11";"10";"3";"0000-00-00 00:00:00"
"3172";"EU";"2001-06-08";"K";"10";"32";"10";"4";"11";"12";"0000-00-00 00:00:00"
"7054";"EU";"2001-06-08";"M";"26";"15";"11";"12";"9";"5";"0000-00-00 00:00:00"
"3173";"EU";"2001-06-15";"K";"18";"22";"7";"13";"10";"2";"0000-00-00 00:00:00"
"7055";"EU";"2001-06-15";"M";"24";"14";"8";"11";"8";"6";"0000-00-00 00:00:00"
"3174";"EU";"2001-06-22";"K";"11";"39";"13";"15";"20";"1";"0000-00-00 00:00:00"
"7056";"EU";"2001-06-22";"M";"28";"22";"13";"11";"19";"7";"0000-00-00 00:00:00"
"3175";"EU";"2001-06-29";"K";"10";"39";"13";"6";"13";"10";"0000-00-00 00:00:00"
"7057";"EU";"2001-06-29";"M";"33";"12";"18";"14";"10";"5";"0000-00-00 00:00:00"
"3176";"EU";"2001-07-06";"K";"10";"39";"22";"5";"9";"14";"0000-00-00 00:00:00"
"7058";"EU";"2001-07-06";"M";"37";"17";"17";"10";"10";"9";"0000-00-00 00:00:00"
"3177";"EU";"2001-07-13";"K";"17";"46";"9";"11";"16";"4";"0000-00-00 00:00:00"
"7059";"EU";"2001-07-13";"M";"39";"21";"11";"15";"7";"9";"0000-00-00 00:00:00"
"3178";"EU";"2001-07-20";"K";"18";"41";"7";"24";"10";"5";"0000-00-00 00:00:00"
"7060";"EU";"2001-07-20";"M";"38";"16";"12";"20";"13";"6";"0000-00-00 00:00:00"
"3179";"EU";"2001-07-27";"K";"31";"47";"9";"25";"18";"5";"0000-00-00 00:00:00"
"7061";"EU";"2001-07-27";"M";"53";"18";"16";"30";"11";"6";"0000-00-00 00:00:00"
"3180";"EU";"2001-08-03";"K";"24";"44";"11";"20";"20";"9";"0000-00-00 00:00:00"
"7062";"EU";"2001-08-03";"M";"47";"17";"15";"25";"13";"11";"0000-00-00 00:00:00"
"3181";"EU";"2001-08-10";"K";"40";"40";"9";"28";"13";"2";"0000-00-00 00:00:00"
"7063";"EU";"2001-08-10";"M";"56";"19";"13";"26";"12";"5";"0000-00-00 00:00:00"
"3182";"EU";"2001-08-17";"K";"20";"19";"6";"46";"44";"11";"0000-00-00 00:00:00"
"7064";"EU";"2001-08-17";"M";"28";"14";"3";"57";"31";"13";"0000-00-00 00:00:00"
"3183";"EU";"2001-08-24";"K";"40";"46";"16";"26";"12";"9";"0000-00-00 00:00:00"
"7065";"EU";"2001-08-24";"M";"69";"17";"15";"31";"8";"8";"0000-00-00 00:00:00"
"3184";"EU";"2001-08-31";"K";"37";"48";"11";"25";"18";"4";"0000-00-00 00:00:00"
"7066";"EU";"2001-08-31";"M";"63";"24";"10";"26";"15";"6";"0000-00-00 00:00:00"
"3185";"EU";"2001-09-07";"K";"34";"60";"10";"16";"20";"8";"0000-00-00 00:00:00"
"7067";"EU";"2001-09-07";"M";"63";"24";"18";"24";"14";"6";"0000-00-00 00:00:00"
"3186";"EU";"2001-09-14";"K";"59";"44";"8";"28";"18";"5";"0000-00-00 00:00:00"
"7068";"EU";"2001-09-14";"M";"63";"30";"18";"24";"17";"10";"0000-00-00 00:00:00"
"3187";"EU";"2001-09-21";"K";"37";"43";"8";"23";"11";"5";"0000-00-00 00:00:00"
"7069";"EU";"2001-09-21";"M";"43";"26";"19";"23";"11";"5";"0000-00-00 00:00:00"
