"id";"code";"datum";"frist";"pbull";"pneutral";"pbear";"ibull";"ineutral";"ibear";"freigabe"
"1087";"GO";"2002-04-05";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"4969";"GO";"2002-04-05";"M";"51";"63";"16";"20";"15";"8";"0000-00-00 00:00:00"
"1088";"GO";"2002-06-14";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"4970";"GO";"2002-06-14";"M";"69";"49";"41";"25";"11";"11";"0000-00-00 00:00:00"
"1089";"GO";"2002-08-09";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"4971";"GO";"2002-08-09";"M";"80";"55";"38";"21";"17";"11";"0000-00-00 00:00:00"
"1090";"GO";"2002-09-27";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"4972";"GO";"2002-09-27";"M";"102";"75";"26";"28";"21";"8";"0000-00-00 00:00:00"
"1091";"GO";"2002-11-08";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"4973";"GO";"2002-11-08";"M";"94";"61";"29";"24";"17";"12";"0000-00-00 00:00:00"
"1092";"GO";"2003-01-24";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"4974";"GO";"2003-01-24";"M";"53";"28";"35";"15";"6";"18";"0000-00-00 00:00:00"
"1093";"GO";"2003-02-21";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"4975";"GO";"2003-02-21";"M";"69";"53";"35";"24";"11";"21";"0000-00-00 00:00:00"
"1094";"GO";"2003-03-21";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"4976";"GO";"2003-03-21";"M";"60";"64";"93";"21";"10";"24";"0000-00-00 00:00:00"
"1095";"GO";"2003-04-25";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"4977";"GO";"2003-04-25";"M";"83";"84";"63";"26";"18";"21";"0000-00-00 00:00:00"
"1096";"GO";"2003-05-23";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"4978";"GO";"2003-05-23";"M";"109";"67";"48";"14";"18";"16";"0000-00-00 00:00:00"
"1097";"GO";"2003-06-20";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"4979";"GO";"2003-06-20";"M";"84";"57";"42";"21";"17";"13";"0000-00-00 00:00:00"
"1098";"GO";"2003-07-18";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"4980";"GO";"2003-07-18";"M";"80";"71";"52";"14";"21";"20";"0000-00-00 00:00:00"
