Datum;Dax_Is;ESX50_Is;SP500_Is;NASDAQ_Is;NIkkei_Is
23.02.2001;-0.444444444;-0.43;-0.5175;-0.4875;-0.485260771
02.03.2001;-0.526170799;-0.46201873;-0.614325069;-0.548209366;-0.491210938
09.03.2001;-0.49219563;-0.5;-0.482758621;-0.43;-0.414982164
16.03.2001;-0.418367347;-0.473251029;-0.53223594;-0.533163265;-0.420918367
23.03.2001;-0.6592;-0.699652778;-0.6352;-0.6592;-0.4432
30.03.2001;-0.425555556;-0.4375;-0.586666667;-0.413333333;-0.457788347
20.04.2001;-0.43100189;-0.5463138;-0.597353497;-0.495274102;-0.533057851
27.04.2001;-0.770833333;-0.588541667;-0.692708333;-0.574652778;-0.692708333
04.05.2001;-0.53223594;-0.51183432;-0.49704142;-0.440329218;-0.684911243
11.05.2001;-0.442602041;-0.464285714;-0.508928571;-0.406887755;-0.468112245
18.05.2001;-0.597353497;-0.702479339;-0.597353497;-0.463137996;-0.645
25.05.2001;-0.42;-0.439952438;-0.464444444;-0.453333333;-0.55
01.06.2001;-0.447916667;-0.484375;-0.5568;-0.4192;-0.826086957
08.06.2001;-0.457908163;-0.456790123;-0.464285714;-0.418381344;-0.641975309
15.06.2001;-0.7312;-0.699652778;-0.6688;-0.4768;-0.81852552
22.06.2001;-0.490466798;-0.527700831;-0.490466798;-0.540433925;-0.645726808
29.06.2001;-0.419738407;-0.439952438;-0.406887755;-0.40665874;-0.635204082
06.07.2001;-0.55648038;-0.600475624;-0.514863258;-0.432818074;-0.64803805
13.07.2001;-0.428710938;-0.428710938;-0.428710938;-0.413085938;-0.978147763
20.07.2001;-0.456278764;-0.44598338;-0.431952663;-0.486522025;-0.609418283
27.07.2001;-0.452256944;-0.451335446;-0.494794024;-0.461371528;-0.486419753
03.08.2001;-0.471886714;-0.459635417;-0.440233236;-0.471886714;-0.579900407
10.08.2001;-0.47647377;-0.486394558;-0.526230395;-0.455381287;-0.484375
17.08.2001;-0.447520185;-0.4378;-0.467111068;-0.440937163;-0.611168921
24.08.2001;-0.421875;-0.406518787;-0.428819444;-0.423177083;-0.468336484
31.08.2001;-0.527387958;-0.537807183;-0.474007561;-0.553191489;-0.620740741
07.09.2001;-0.474310438;-0.482993197;-0.474310438;-0.427257977;-0.585181179
14.09.2001;-0.5228;-0.5228;-0.5212;-0.674356017;-0.730194658
21.09.2001;-0.537146614;-0.493074792;-0.513477975;-0.652859961;-0.476454294
28.09.2001;-0.541587902;-0.524444444;-0.500246914;-0.608888889;-0.660640496
05.10.2001;-0.505540166;-0.493791088;-0.474537037;-0.552958364;-0.693877551
12.10.2001;-0.608695652;-0.602469136;-0.706521739;-0.525047259;-0.563016529
19.10.2001;-0.52;-0.555268595;-0.50617284;-0.52;-0.509297521
26.10.2001;-0.560183257;-0.555907651;-0.477430556;-0.43359375;-0.67513536
