Datum;Dax_Ps;ESX50_Ps;SP500_Ps;NASDAQ_Ps;Nikkei_Ps
23.02.2001;-0.73673257;-0.722164412;-0.671819263;-0.401367188;-0.62755102
02.03.2001;-0.576701269;-0.571845065;-0.484375;-0.435601692;-0.585185185
09.03.2001;-0.7772;-0.717519239;-0.882299683;-0.4288;-0.51471254
16.03.2001;-0.424385633;-0.451323251;-0.613119835;-0.456790123;-0.524607896
23.03.2001;-0.460740741;-0.500246914;-0.569382716;-0.487901235;-0.751875
30.03.2001;-0.625868056;-0.657552083;-0.6953125;-0.518229167;-0.832703214
20.04.2001;-0.584880036;-0.730194658;-0.641919421;-0.5078125;-0.851851852
27.04.2001;-0.593580247;-0.776790123;-0.678024691;-0.502222222;-0.727839335
04.05.2001;-0.478737997;-0.593278464;-0.5708;-0.424186391;-0.5463138
11.05.2001;-0.58739765;-0.673905304;-0.746772178;-0.458669742;-0.83567225
18.05.2001;-0.654064272;-0.875555556;-0.815802469;-0.497962879;-0.778703153
25.05.2001;-0.54312909;-0.687705457;-0.71125;-0.441403926;-0.876033058
01.06.2001;-0.77324263;-0.954648526;-1.007138608;-0.593537415;-0.991689751
08.06.2001;-0.561983471;-0.751371742;-0.88750445;-0.448914204;-0.816608997
15.06.2001;-0.495626822;-0.626822157;-0.627599244;-0.5;-0.724173554
22.06.2001;-0.442602041;-0.640946746;-0.661065089;-0.471715976;-1
29.06.2001;-0.586272189;-0.693964497;-0.724765869;-0.534179688;-0.947187929
06.07.2001;-0.655111111;-0.761687363;-0.750985175;-0.575466667;-0.714190243
13.07.2001;-0.5968;-0.741051863;-0.749035494;-0.532370051;-0.778546713
20.07.2001;-0.559611188;-0.72;-0.661632653;-0.514387734;-0.766439909
27.07.2001;-0.572157434;-0.682216066;-0.855705862;-0.531618663;-0.684271694
03.08.2001;-0.74535124;-0.844100938;-0.75432526;-0.549457645;-0.647600263
10.08.2001;-0.514146673;-0.67036862;-0.606790123;-0.522279918;-0.536776636
17.08.2001;-0.475218659;-0.495626822;-0.500208247;-0.486880466;-0.586666667
24.08.2001;-0.559669421;-0.745139298;-0.683570553;-0.468621399;-0.630778842
31.08.2001;-0.551122439;-0.5503;-0.630049979;-0.53912866;-0.574515235
07.09.2001;-0.4749021;-0.526218332;-0.551697531;-0.518138204;-0.638683432
14.09.2001;-0.51705104;-0.549943289;-0.523198342;-0.482382015;-0.631604578
21.09.2001;-0.44066482;-0.429945677;-0.46016297;-0.460609418;-0.539548364
28.09.2001;-0.48191979;-0.508249108;-0.57073724;-0.533590963;-0.683029086
05.10.2001;-0.64756339;-0.626201461;-0.816608997;-0.639946175;-0.660807292
12.10.2001;-0.491871456;-0.522202208;-0.517973216;-0.46401441;-0.839727891
19.10.2001;-0.581024931;-0.618303571;-0.732895057;-0.548169791;-0.77170068
26.10.2001;-0.468989158;-0.520647321;-0.556350476;-0.439655872;-0.770408163
09.11.2001;-0.461934156;-0.523609124;-0.588999644;-0.504082148;-0.683266346
16.11.2001;-0.476996528;-0.495117188;-0.622714681;-0.459279778;-0.600077479
23.11.2001;-0.470845481;-0.509162849;-0.547985971;-0.436284409;-0.885241762
30.11.2001;-0.469075521;-0.52265928;-0.515504753;-0.480110803;-0.671379876
07.12.2001;-0.511391954;-0.526534763;-0.528014053;-0.499591837;-0.727509371
14.12.2001;-0.481442941;-0.51161984;-0.531578312;-0.46238377;-0.71955291
04.01.2002;-0.494167239;-0.541522491;-0.5267;-0.467503316;-0.743580247
11.01.2002;-0.59901148;-0.653140496;-0.676121539;-0.574132231;-0.79664723
18.01.2002;-0.622708333;-0.638888889;-0.57102844;-0.567170721;-0.748449646
25.01.2002;-0.572417202;-0.693047975;-0.733459357;-0.625;-0.897230873
01.02.2002;-0.674260355;-0.757568359;-0.755443787;-0.669971757;-0.640209025
08.02.2002;-0.495662865;-0.502885529;-0.551514724;-0.532986111;-0.551817602
15.02.2002;-0.555555556;-0.620006887;-0.676861326;-0.54395387;-0.617728
22.02.2002;-0.529604434;-0.581888;-0.577458377;-0.529786681;-0.650814523
01.03.2002;-0.597050046;-0.686256836;-0.630070308;-0.569917673;-0.569603025
08.03.2002;-0.495571585;-0.516064355;-0.515769676;-0.507282022;-0.516707819
15.03.2002;-0.5463138;-0.581887048;-0.599890261;-0.60696845;-0.571930281
22.03.2002;-0.496644916;-0.566053669;-0.581153113;-0.554676292;-0.592427984
05.04.2002;-0.580906393;-0.631255973;-0.65889519;-0.60390249;-0.564352
12.04.2002;-0.499749238;-0.56746173;-0.587113741;-0.499411741;-0.735219976
19.04.2002;-0.617609357;-0.708579882;-0.776690947;-0.620936524;-0.752946354
26.04.2002;-0.489140625;-0.552035125;-0.567203538;-0.48541523;-0.737750772
03.05.2002;-0.520589847;-0.564187886;-0.546825208;-0.521854935;-0.789763314
10.05.2002;-0.503104456;-0.535147392;-0.579064279;-0.500985175;-0.890216188
17.05.2002;-0.52872288;-0.564058172;-0.575311634;-0.517710718;-0.601589533
24.05.2002;-0.595827246;-0.721617122;-0.684714702;-0.548937943;-0.678849481
31.05.2002;-0.456637262;-0.50534626;-0.559556787;-0.473945341;-0.675452504
07.06.2002;-0.470885124;-0.492160665;-0.54614731;-0.482770083;-0.725316583
14.06.2002;-0.409264381;-0.422388755;-0.434388155;-0.424793388;-0.603043726
21.06.2002;-0.441884052;-0.456813664;-0.484603838;-0.430468262;-0.550153061
28.06.2002;-0.468627014;-0.508675;-0.5308;-0.480518169;-0.711619488
05.07.2002;-0.489067637;-0.504816327;-0.523211519;-0.476627066;-0.576701269
12.07.2002;-0.454610021;-0.490293695;-0.508995918;-0.467697186;-0.709228274
19.07.2002;-0.453727811;-0.448978496;-0.465515853;-0.462642151;-0.586984029
26.07.2002;-0.427797153;-0.44395003;-0.463321119;-0.433004996;-0.540764934
02.08.2002;-0.494357639;-0.512188366;-0.522160665;-0.497922438;-0.639463117
09.08.2002;-0.487659386;-0.541419163;-0.575122676;-0.555657143;-0.691270124
16.08.2002;-0.472944849;-0.497626086;-0.500520291;-0.483816206;-0.737918084
23.08.2002;-0.452995918;-0.494693077;-0.486953362;-0.474222326;-0.591777778
30.08.2002;-0.468179592;-0.477289796;-0.519085714;-0.503752028;-0.673422222
06.09.2002;-0.47105;-0.478420569;-0.498928681;-0.493175;-0.495986081
13.09.2002;-0.500462481;-0.511088386;-0.51769258;-0.526457268;-0.594692063
20.09.2002;-0.413096647;-0.421836828;-0.438205295;-0.446044922;-0.546514286
27.09.2002;-0.422290249;-0.440923972;-0.450081271;-0.423347103;-0.536046212
04.10.2002;-0.454680342;-0.467376726;-0.459678259;-0.459072727;-0.51288149
11.10.2002;-0.454864979;-0.47654761;-0.473800153;-0.45993788;-0.51841565
18.10.2002;-0.434803619;-0.451988706;-0.466401783;-0.449978299;-0.613419514
25.10.2002;-0.472630385;-0.524331066;-0.518532085;-0.504642285;-0.654989043
01.11.2002;-0.464576783;-0.4875;-0.472207484;-0.463312631;-0.71330248
08.11.2002;-0.445340276;-0.443017202;-0.458465369;-0.46067225;-0.714436057
15.11.2002;-0.489467456;-0.527369862;-0.527126736;-0.477704099;-0.720930233
22.11.2002;-0.478099444;-0.496906016;-0.503700648;-0.471023459;-0.65256912
29.11.2002;-0.452313254;-0.46739229;-0.473537415;-0.462809726;-0.630007305
06.12.2002;-0.474181768;-0.482868319;-0.502126479;-0.500641789;-0.685658655
13.12.2002;-0.477481139;-0.521399417;-0.513890755;-0.493121675;-0.668081276
20.12.2002;-0.501133787;-0.497438482;-0.521178019;-0.517950052;-0.667962201
