"id";"code";"datum";"frist";"pbull";"pneutral";"pbear";"ibull";"ineutral";"ibear";"freigabe"
"2304";"OI";"2002-04-05";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6186";"OI";"2002-04-05";"M";"50";"57";"28";"13";"17";"13";"0000-00-00 00:00:00"
"2305";"OI";"2002-06-14";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6187";"OI";"2002-06-14";"M";"42";"92";"20";"14";"27";"6";"0000-00-00 00:00:00"
"2306";"OI";"2002-08-09";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6188";"OI";"2002-08-09";"M";"87";"66";"20";"24";"22";"4";"0000-00-00 00:00:00"
"2307";"OI";"2002-09-27";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6189";"OI";"2002-09-27";"M";"108";"52";"44";"19";"19";"19";"0000-00-00 00:00:00"
"2308";"OI";"2002-11-08";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6190";"OI";"2002-11-08";"M";"86";"61";"35";"23";"18";"11";"0000-00-00 00:00:00"
"2309";"OI";"2003-01-24";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6191";"OI";"2003-01-24";"M";"55";"21";"40";"11";"8";"21";"0000-00-00 00:00:00"
"2310";"OI";"2003-02-21";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6192";"OI";"2003-02-21";"M";"61";"41";"56";"17";"10";"29";"0000-00-00 00:00:00"
"2311";"OI";"2003-03-21";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6193";"OI";"2003-03-21";"M";"37";"65";"115";"10";"18";"28";"0000-00-00 00:00:00"
"2312";"OI";"2003-04-25";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6194";"OI";"2003-04-25";"M";"22";"104";"103";"7";"34";"25";"0000-00-00 00:00:00"
"2313";"OI";"2003-05-23";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6195";"OI";"2003-05-23";"M";"41";"119";"62";"9";"21";"19";"0000-00-00 00:00:00"
"2314";"OI";"2003-06-20";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6196";"OI";"2003-06-20";"M";"44";"91";"50";"9";"28";"14";"0000-00-00 00:00:00"
"2315";"OI";"2003-07-18";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6197";"OI";"2003-07-18";"M";"42";"96";"63";"13";"26";"18";"0000-00-00 00:00:00"
"2316";"OI";"2003-08-15";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6198";"OI";"2003-08-15";"M";"42";"87";"48";"14";"22";"10";"0000-00-00 00:00:00"
"2317";"OI";"2003-09-12";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6199";"OI";"2003-09-12";"M";"54";"95";"53";"8";"28";"15";"0000-00-00 00:00:00"
"2318";"OI";"2003-10-10";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6200";"OI";"2003-10-10";"M";"81";"114";"42";"20";"31";"14";"0000-00-00 00:00:00"
"2319";"OI";"2003-11-07";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6201";"OI";"2003-11-07";"M";"90";"142";"50";"14";"44";"17";"0000-00-00 00:00:00"
"2320";"OI";"2003-12-05";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6202";"OI";"2003-12-05";"M";"83";"114";"32";"20";"32";"15";"0000-00-00 00:00:00"
"2321";"OI";"2004-01-09";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6203";"OI";"2004-01-09";"M";"118";"121";"42";"20";"35";"18";"0000-00-00 00:00:00"
"2322";"OI";"2004-02-06";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6204";"OI";"2004-02-06";"M";"81";"147";"58";"23";"31";"20";"0000-00-00 00:00:00"
"2323";"OI";"2004-03-05";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6205";"OI";"2004-03-05";"M";"104";"139";"64";"28";"31";"13";"0000-00-00 00:00:00"
"2324";"OI";"2004-04-09";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6206";"OI";"2004-04-09";"M";"135";"86";"62";"24";"23";"23";"0000-00-00 00:00:00"
"2325";"OI";"2004-05-07";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6207";"OI";"2004-05-07";"M";"157";"82";"79";"30";"29";"23";"0000-00-00 00:00:00"
"2326";"OI";"2004-06-11";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6208";"OI";"2004-06-11";"M";"106";"104";"102";"28";"24";"33";"0000-00-00 00:00:00"
"2327";"OI";"2004-07-09";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6209";"OI";"2004-07-09";"M";"159";"120";"71";"39";"28";"26";"0000-00-00 00:00:00"
"2328";"OI";"2004-08-06";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6210";"OI";"2004-08-06";"M";"117";"96";"126";"30";"24";"33";"0000-00-00 00:00:00"
"2329";"OI";"2004-09-10";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6211";"OI";"2004-09-10";"M";"103";"130";"96";"27";"25";"37";"0000-00-00 00:00:00"
"2330";"OI";"2004-10-08";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6212";"OI";"2004-10-08";"M";"141";"105";"127";"35";"33";"32";"0000-00-00 00:00:00"
"2331";"OI";"2004-11-05";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6213";"OI";"2004-11-05";"M";"115";"133";"113";"36";"32";"43";"0000-00-00 00:00:00"
"2332";"OI";"2004-12-10";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6214";"OI";"2004-12-10";"M";"153";"173";"92";"35";"54";"19";"0000-00-00 00:00:00"
"2333";"OI";"2005-01-14";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6215";"OI";"2005-01-14";"M";"175";"153";"79";"49";"49";"30";"0000-00-00 00:00:00"
"2334";"OI";"2005-02-11";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6216";"OI";"2005-02-11";"M";"175";"186";"69";"38";"47";"23";"0000-00-00 00:00:00"
"2335";"OI";"2005-03-11";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6217";"OI";"2005-03-11";"M";"153";"133";"101";"44";"31";"32";"0000-00-00 00:00:00"
"2336";"OI";"2005-04-08";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6218";"OI";"2005-04-08";"M";"150";"142";"154";"47";"39";"44";"0000-00-00 00:00:00"
"2337";"OI";"2005-05-06";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6219";"OI";"2005-05-06";"M";"120";"169";"125";"28";"36";"29";"0000-00-00 00:00:00"
"2338";"OI";"2005-06-10";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6220";"OI";"2005-06-10";"M";"192";"160";"68";"45";"34";"16";"0000-00-00 00:00:00"
"2339";"OI";"2005-07-08";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6221";"OI";"2005-07-08";"M";"220";"129";"107";"67";"40";"32";"0000-00-00 00:00:00"
"2340";"OI";"2005-08-05";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6222";"OI";"2005-08-05";"M";"227";"142";"63";"72";"45";"24";"0000-00-00 00:00:00"
"2341";"OI";"2005-09-09";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6223";"OI";"2005-09-09";"M";"176";"151";"152";"46";"41";"34";"0000-00-00 00:00:00"
"2342";"OI";"2005-10-07";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6224";"OI";"2005-10-07";"M";"121";"166";"150";"36";"48";"43";"0000-00-00 00:00:00"
"2343";"OI";"2005-11-11";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6225";"OI";"2005-11-11";"M";"133";"195";"151";"67";"65";"27";"0000-00-00 00:00:00"
"2344";"OI";"2005-12-09";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6226";"OI";"2005-12-09";"M";"244";"146";"78";"73";"52";"25";"0000-00-00 00:00:00"
"2345";"OI";"2006-01-13";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6227";"OI";"2006-01-13";"M";"266";"171";"76";"94";"46";"22";"0000-00-00 00:00:00"
"2346";"OI";"2006-02-10";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6228";"OI";"2006-02-10";"M";"208";"188";"118";"70";"64";"34";"0000-00-00 00:00:00"
"2347";"OI";"2006-03-10";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6229";"OI";"2006-03-10";"M";"198";"225";"127";"58";"74";"47";"0000-00-00 00:00:00"
"2348";"OI";"2006-04-14";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6230";"OI";"2006-04-14";"M";"299";"151";"89";"101";"44";"20";"0000-00-00 00:00:00"
"2349";"OI";"2006-05-12";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6231";"OI";"2006-05-12";"M";"265";"175";"95";"78";"72";"34";"0000-00-00 00:00:00"
"2350";"OI";"2006-06-09";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6232";"OI";"2006-06-09";"M";"185";"214";"128";"64";"63";"53";"0000-00-00 00:00:00"
"2351";"OI";"2006-07-14";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6233";"OI";"2006-07-14";"M";"293";"110";"104";"106";"30";"30";"0000-00-00 00:00:00"
"2352";"OI";"2006-08-11";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6234";"OI";"2006-08-11";"M";"239";"158";"142";"83";"44";"50";"0000-00-00 00:00:00"
"2353";"OI";"2006-09-08";"K";"0";"0";"0";"0";"0";"0";"0000-00-00 00:00:00"
"6235";"OI";"2006-09-08";"M";"140";"209";"202";"43";"61";"65";"0000-00-00 00:00:00"
"2354";"OI";"2006-09-15";"K";"74";"252";"211";"28";"73";"79";"0000-00-00 00:00:00"
"6236";"OI";"2006-09-15";"M";"182";"210";"145";"61";"74";"43";"0000-00-00 00:00:00"
"2355";"OI";"2006-09-22";"K";"85";"264";"162";"41";"65";"40";"2006-09-24 19:55:12"
"6237";"OI";"2006-09-22";"M";"187";"193";"122";"60";"47";"37";"2006-09-24 19:55:12"
"2356";"OI";"2006-09-29";"K";"132";"294";"120";"54";"69";"30";"2006-10-01 19:59:31"
"6238";"OI";"2006-09-29";"M";"212";"198";"127";"56";"58";"39";"2006-10-01 19:59:31"
"2357";"OI";"2006-10-06";"K";"104";"293";"135";"46";"79";"45";"2006-10-08 19:59:31"
"6239";"OI";"2006-10-06";"M";"208";"195";"127";"61";"67";"42";"2006-10-08 19:59:31"
"2358";"OI";"2006-10-13";"K";"110";"315";"149";"35";"91";"44";"2006-10-15 19:59:31"
"6240";"OI";"2006-10-13";"M";"251";"204";"115";"74";"60";"35";"2006-10-15 19:59:31"
"2359";"OI";"2006-10-20";"K";"129";"320";"103";"69";"95";"33";"2006-10-22 19:59:31"
"6241";"OI";"2006-10-20";"M";"265";"187";"99";"70";"82";"43";"2006-10-22 19:59:31"
"2360";"OI";"2006-10-27";"K";"162";"318";"64";"49";"92";"22";"2006-10-29 19:59:31"
"6242";"OI";"2006-10-27";"M";"280";"172";"87";"56";"72";"33";"2006-10-29 19:59:31"
"2361";"OI";"2006-11-03";"K";"117";"309";"118";"43";"78";"28";"2006-11-05 19:59:31"
"6243";"OI";"2006-11-03";"M";"259";"173";"107";"65";"58";"27";"2006-11-05 19:59:31"
"2362";"OI";"2006-11-10";"K";"218";"290";"57";"77";"99";"15";"2006-11-12 19:59:31"
"6244";"OI";"2006-11-10";"M";"289";"183";"86";"89";"73";"29";"2006-11-12 19:59:31"
"2363";"OI";"2006-11-17";"K";"123";"306";"120";"45";"98";"36";"2006-11-19 19:59:31"
"6245";"OI";"2006-11-17";"M";"267";"189";"92";"78";"63";"36";"2006-11-19 19:59:31"
"2364";"OI";"2006-11-24";"K";"154";"328";"80";"47";"94";"27";"2006-11-26 19:59:31"
"6246";"OI";"2006-11-24";"M";"268";"195";"93";"72";"61";"33";"2006-11-26 19:59:31"
"2365";"OI";"2006-12-01";"K";"308";"219";"30";"97";"79";"15";"2006-12-03 19:59:31"
"6247";"OI";"2006-12-01";"M";"262";"211";"80";"75";"80";"34";"2006-12-03 19:59:31"
"2366";"OI";"2006-12-08";"K";"238";"313";"40";"73";"78";"15";"2006-12-10 19:59:31"
"6248";"OI";"2006-12-08";"M";"275";"222";"90";"74";"63";"29";"2006-12-10 19:59:31"
"2367";"OI";"2006-12-15";"K";"228";"380";"38";"83";"111";"10";"2006-12-17 19:59:31"
"6249";"OI";"2006-12-15";"M";"315";"236";"95";"89";"80";"34";"2006-12-17 19:59:31"
"2368";"OI";"2006-12-22";"K";"160";"279";"36";"59";"87";"8";"2006-12-24 12:59:31"
"6250";"OI";"2006-12-22";"M";"216";"173";"88";"63";"61";"30";"2006-12-24 12:59:31"
"2369";"OI";"2006-12-29";"K";"131";"304";"46";"45";"61";"15";"2006-12-31 19:59:31"
"6251";"OI";"2006-12-29";"M";"220";"172";"87";"46";"52";"22";"2006-12-31 19:59:31"
"2370";"OI";"2007-01-05";"K";"64";"298";"183";"29";"76";"57";"2007-01-07 19:59:31"
"6252";"OI";"2007-01-05";"M";"205";"230";"110";"58";"71";"32";"2007-01-07 19:59:31"
"2371";"OI";"2007-01-12";"K";"84";"254";"224";"36";"69";"64";"2007-01-14 19:59:31"
"6253";"OI";"2007-01-12";"M";"240";"209";"111";"72";"68";"27";"2007-01-14 19:59:31"
"2372";"OI";"2007-01-19";"K";"110";"289";"176";"43";"74";"55";"2007-01-21 19:59:31"
"6254";"OI";"2007-01-19";"M";"292";"185";"94";"84";"52";"34";"2007-01-21 19:59:31"
"2373";"OI";"2007-01-26";"K";"179";"294";"87";"67";"81";"32";"2007-01-28 19:59:31"
"6255";"OI";"2007-01-26";"M";"265";"193";"103";"82";"56";"41";"2007-01-28 19:59:31"
"2374";"OI";"2007-02-02";"K";"225";"291";"54";"74";"84";"23";"2007-02-04 19:59:31"
"6256";"OI";"2007-02-02";"M";"278";"201";"94";"77";"74";"30";"2007-02-04 19:59:31"
"2375";"OI";"2007-02-09";"K";"198";"311";"75";"60";"95";"22";"2007-02-11 19:59:31"
"6257";"OI";"2007-02-09";"M";"261";"200";"118";"79";"59";"38";"2007-02-11 19:59:31"
"2376";"OI";"2007-02-16";"K";"125";"327";"99";"36";"72";"18";"2007-02-18 19:59:31"
"6258";"OI";"2007-02-16";"M";"230";"216";"102";"55";"50";"21";"2007-02-18 19:59:31"
"2377";"OI";"2007-02-23";"K";"209";"295";"46";"83";"78";"13";"2007-02-25 19:59:31"
"6259";"OI";"2007-02-23";"M";"250";"207";"92";"78";"73";"23";"2007-02-25 19:59:31"
"2378";"OI";"2007-03-02";"K";"213";"277";"55";"58";"91";"14";"2007-03-04 19:59:31"
