"id";"code";"datum";"frist";"pbull";"pneutral";"pbear";"ibull";"ineutral";"ibear";"freigabe"
"1580";"TD";"2001-02-23";"K";"10";"5";"17";"5";"4";"12";"0000-00-00 00:00:00"
"5462";"TD";"2001-02-23";"M";"9";"12";"11";"4";"7";"10";"0000-00-00 00:00:00"
"1581";"TD";"2001-03-02";"K";"12";"10";"29";"11";"9";"13";"0000-00-00 00:00:00"
"5463";"TD";"2001-03-02";"M";"12";"18";"21";"8";"12";"13";"0000-00-00 00:00:00"
"1582";"TD";"2001-03-09";"K";"15";"10";"25";"8";"13";"10";"0000-00-00 00:00:00"
"5464";"TD";"2001-03-09";"M";"10";"23";"17";"9";"9";"13";"0000-00-00 00:00:00"
"1583";"TD";"2001-03-16";"K";"11";"11";"23";"3";"9";"15";"0000-00-00 00:00:00"
"5465";"TD";"2001-03-16";"M";"10";"22";"14";"7";"9";"11";"0000-00-00 00:00:00"
"1584";"TD";"2001-03-23";"K";"14";"17";"14";"11";"8";"6";"0000-00-00 00:00:00"
"5466";"TD";"2001-03-23";"M";"11";"21";"12";"6";"13";"6";"0000-00-00 00:00:00"
"1585";"TD";"2001-03-30";"K";"13";"22";"13";"9";"16";"4";"0000-00-00 00:00:00"
"5467";"TD";"2001-03-30";"M";"15";"22";"10";"10";"9";"10";"0000-00-00 00:00:00"
"1586";"TD";"2001-04-20";"K";"16";"21";"11";"12";"7";"4";"0000-00-00 00:00:00"
"5468";"TD";"2001-04-20";"M";"20";"18";"10";"9";"8";"6";"0000-00-00 00:00:00"
"1587";"TD";"2001-04-27";"K";"15";"21";"9";"11";"6";"7";"0000-00-00 00:00:00"
"5469";"TD";"2001-04-27";"M";"22";"14";"9";"7";"12";"5";"0000-00-00 00:00:00"
"1588";"TD";"2001-05-04";"K";"16";"16";"22";"8";"8";"10";"0000-00-00 00:00:00"
"5470";"TD";"2001-05-04";"M";"26";"19";"9";"9";"13";"5";"0000-00-00 00:00:00"
"1589";"TD";"2001-05-11";"K";"15";"24";"13";"8";"13";"6";"0000-00-00 00:00:00"
"5471";"TD";"2001-05-11";"M";"24";"19";"9";"11";"6";"10";"0000-00-00 00:00:00"
"1590";"TD";"2001-05-18";"K";"20";"18";"8";"10";"9";"4";"0000-00-00 00:00:00"
