"id";"code";"datum";"frist";"pbull";"pneutral";"pbear";"ibull";"ineutral";"ibear";"freigabe"
"2797";"TY";"2001-02-23";"K";"0";"0";"0";"2";"10";"5";"0000-00-00 00:00:00"
"6679";"TY";"2001-02-23";"M";"0";"0";"0";"6";"9";"2";"0000-00-00 00:00:00"
"2798";"TY";"2001-03-02";"K";"0";"0";"0";"6";"17";"7";"0000-00-00 00:00:00"
"6680";"TY";"2001-03-02";"M";"0";"0";"0";"12";"15";"3";"0000-00-00 00:00:00"
"2799";"TY";"2001-03-09";"K";"0";"0";"0";"10";"12";"6";"0000-00-00 00:00:00"
"6681";"TY";"2001-03-09";"M";"0";"0";"0";"10";"12";"6";"0000-00-00 00:00:00"
"2800";"TY";"2001-03-16";"K";"0";"0";"0";"13";"11";"2";"0000-00-00 00:00:00"
"6682";"TY";"2001-03-16";"M";"0";"0";"0";"6";"16";"4";"0000-00-00 00:00:00"
"2801";"TY";"2001-03-23";"K";"0";"0";"0";"7";"10";"6";"0000-00-00 00:00:00"
"6683";"TY";"2001-03-23";"M";"0";"0";"0";"8";"13";"2";"0000-00-00 00:00:00"
"2802";"TY";"2001-03-30";"K";"0";"0";"0";"5";"13";"9";"0000-00-00 00:00:00"
"6684";"TY";"2001-03-30";"M";"0";"0";"0";"7";"16";"4";"0000-00-00 00:00:00"
"2803";"TY";"2001-04-20";"K";"0";"0";"0";"5";"11";"6";"0000-00-00 00:00:00"
"6685";"TY";"2001-04-20";"M";"0";"0";"0";"4";"13";"5";"0000-00-00 00:00:00"
"2804";"TY";"2001-04-27";"K";"0";"0";"0";"7";"11";"4";"0000-00-00 00:00:00"
"6686";"TY";"2001-04-27";"M";"0";"0";"0";"7";"10";"5";"0000-00-00 00:00:00"
"2805";"TY";"2001-05-04";"K";"0";"0";"0";"11";"10";"4";"0000-00-00 00:00:00"
"6687";"TY";"2001-05-04";"M";"0";"0";"0";"7";"13";"5";"0000-00-00 00:00:00"
"2806";"TY";"2001-05-11";"K";"0";"0";"0";"8";"11";"7";"0000-00-00 00:00:00"
"6688";"TY";"2001-05-11";"M";"0";"0";"0";"7";"14";"5";"0000-00-00 00:00:00"
"2807";"TY";"2001-05-18";"K";"0";"0";"0";"4";"14";"4";"0000-00-00 00:00:00"
"6689";"TY";"2001-05-18";"M";"0";"0";"0";"5";"10";"7";"0000-00-00 00:00:00"
"2808";"TY";"2001-05-25";"K";"0";"0";"0";"5";"14";"10";"0000-00-00 00:00:00"
"6690";"TY";"2001-05-25";"M";"0";"0";"0";"6";"16";"7";"0000-00-00 00:00:00"
"2809";"TY";"2001-06-01";"K";"0";"0";"0";"7";"13";"3";"0000-00-00 00:00:00"
"6691";"TY";"2001-06-01";"M";"0";"0";"0";"4";"13";"6";"0000-00-00 00:00:00"
"2810";"TY";"2001-06-08";"K";"0";"0";"0";"6";"13";"8";"0000-00-00 00:00:00"
"6692";"TY";"2001-06-08";"M";"0";"0";"0";"7";"13";"7";"0000-00-00 00:00:00"
"2811";"TY";"2001-06-15";"K";"0";"0";"0";"10";"12";"1";"0000-00-00 00:00:00"
"6693";"TY";"2001-06-15";"M";"0";"0";"0";"6";"10";"7";"0000-00-00 00:00:00"
"2812";"TY";"2001-06-22";"K";"0";"0";"0";"15";"20";"1";"0000-00-00 00:00:00"
"6694";"TY";"2001-06-22";"M";"0";"0";"0";"11";"19";"7";"0000-00-00 00:00:00"
"2813";"TY";"2001-06-29";"K";"0";"0";"0";"5";"13";"10";"0000-00-00 00:00:00"
"6695";"TY";"2001-06-29";"M";"0";"0";"0";"12";"10";"6";"0000-00-00 00:00:00"
